Book Title,Book Link,ISBN
"Python Crash Course: A Hands-On, Project-Based Introduction to Programming",https://www.amazon.com/Python-Crash-Course-Hands-Project-Based/dp/1593276036/ref=sr_1_3/145-1141396-2595105?ie=UTF8&qid=1518023072&sr=8-3&keywords=python+programming,593276036
"Python Programming: An Introduction to Computer Science, 3rd Ed.",https://www.amazon.com/Python-Programming-Introduction-Computer-Science/dp/1590282752/ref=sr_1_4/145-1141396-2595105?ie=UTF8&qid=1518023072&sr=8-4&keywords=python+programming,590282752
"Python: Programming: Your Step By Step Guide To Easily Learn Python in 7 Days (Python for Beginners, Python Programming for Beginners, Learn Python, Python Language)",https://www.amazon.com/Python-Programming-Easily-Beginners-Language/dp/1521155488/ref=sr_1_5/145-1141396-2595105?ie=UTF8&qid=1518023072&sr=8-5&keywords=python+programming,521155488
Python Pocket Reference: Python In Your Pocket (Pocket Reference (O'Reilly)),https://www.amazon.com/Python-Pocket-Reference-Your-OReilly/dp/1449357016/ref=sr_1_6/145-1141396-2595105?ie=UTF8&qid=1518023072&sr=8-6&keywords=python+programming,Language: English
Automate the Boring Stuff with Python: Practical Programming for Total Beginners,https://www.amazon.com/Automate-Boring-Stuff-Python-Programming/dp/1593275994/ref=sr_1_7/145-1141396-2595105?ie=UTF8&qid=1518023072&sr=8-7&keywords=python+programming,593275994
"Learning Python, 5th Edition",https://www.amazon.com/Learning-Python-5th-Mark-Lutz/dp/1449355730/ref=sr_1_8/145-1141396-2595105?ie=UTF8&qid=1518023072&sr=8-8&keywords=python+programming,Language: English
Python Programming: An Introduction to Computer Science,https://www.amazon.com/Python-Programming-Introduction-Computer-Science/dp/1590282418/ref=sr_1_9/145-1141396-2595105?ie=UTF8&qid=1518023072&sr=8-9&keywords=python+programming,590282418
Python Programming: Your Beginner‰Ûªs Guide To Easily Learn Python in 7 Days,https://www.amazon.com/Python-Programming-Beginners-Guide-Easily/dp/1549578839/ref=sr_1_10/145-1141396-2595105?ie=UTF8&qid=1518023072&sr=8-10&keywords=python+programming,549578839
Beginning Programming with Python For Dummies (For Dummies Series),https://www.amazon.com/Beginning-Programming-Python-Dummies/dp/1118891457/ref=sr_1_11/145-1141396-2595105?ie=UTF8&qid=1518023072&sr=8-11&keywords=python+programming,Language: English
Python Programming: A Complete Guide For Beginners To Master And Become An Expert In Python Programming Language,https://www.amazon.com/Python-Programming-Complete-Beginners-Language/dp/1539434370/ref=sr_1_12/145-1141396-2595105?ie=UTF8&qid=1518023072&sr=8-12&keywords=python+programming,53943437
Illustrated Guide to Python 3: A Complete Walkthrough of Beginning Python with Unique Illustrations Showing how Python Really Works. Now covering Python 3.6 (Treading on Python) (Volume 1),https://www.amazon.com/Illustrated-Guide-Python-Walkthrough-Illustrations/dp/1977921752/ref=sr_1_13/145-1141396-2595105?ie=UTF8&qid=1518023072&sr=8-13&keywords=python+programming,Language: English
Python Tricks: A Buffet of Awesome Python Features,https://www.amazon.com/Python-Tricks-Buffet-Awesome-Features/dp/1775093301/ref=sr_1_14/145-1141396-2595105?ie=UTF8&qid=1518023072&sr=8-14&keywords=python+programming,7750933
Head First Python: A Brain-Friendly Guide,https://www.amazon.com/Head-First-Python-Brain-Friendly-Guide/dp/1491919531/ref=sr_1_15/145-1141396-2595105?ie=UTF8&qid=1518023072&sr=8-15&keywords=python+programming,49191953
Learn Python in One Day and Learn It Well (2nd Edition): Python for Beginners with Hands-on Project. The only book you need to start coding in Python immediately (Learn Coding Fast) (Volume 1),https://www.amazon.com/Learn-Python-One-Well-Hands/dp/1546488332/ref=sr_1_16/145-1141396-2595105?ie=UTF8&qid=1518023072&sr=8-16&keywords=python+programming,Language: English
"Python Programming for the Absolute Beginner, 3rd Edition",https://www.amazon.com/Python-Programming-Absolute-Beginner-3rd/dp/1435455002/ref=sr_1_17/145-1141396-2595105?ie=UTF8&qid=1518023072&sr=8-17&keywords=python+programming,Language: English
"Fluent Python: Clear, Concise, and Effective Programming",https://www.amazon.com/Fluent-Python-Concise-Effective-Programming/dp/1491946008/ref=sr_1_18/145-1141396-2595105?ie=UTF8&qid=1518023072&sr=8-18&keywords=python+programming,491946008